192.168.0.121 - - [04/Sep/2019:15:20:36 +0300] "GET /aua/assets/global/plugins/bootstrap-fileinput/bootstrap-fileinput.js HTTP/1.1" 200 6763
192.168.0.121 - - [04/Sep/2019:15:20:36 +0300] "GET /aua/assets/layouts/layout4/scripts/demo.min.js HTTP/1.1" 200 6118
192.168.0.121 - - [04/Sep/2019:15:20:36 +0300] "GET /aua/assets/layouts/layout4/scripts/layout.min.js HTTP/1.1" 200 9097
192.168.0.121 - - [04/Sep/2019:15:20:36 +0300] "GET /aua/assets/layouts/global/scripts/quick-sidebar.min.js HTTP/1.1" 200 2867
192.168.0.121 - - [04/Sep/2019:15:20:36 +0300] "GET /aua/assets/layouts/layout/img/avatar1.jpg HTTP/1.1" 200 1869
192.168.0.121 - - [04/Sep/2019:15:20:36 +0300] "GET /aua/assets/layouts/layout/img/avatar3.jpg HTTP/1.1" 200 3056
192.168.0.121 - - [04/Sep/2019:15:20:36 +0300] "GET /aua/assets/layouts/layout/img/avatar2.jpg HTTP/1.1" 200 3767
192.168.0.121 - - [04/Sep/2019:15:20:36 +0300] "GET /aua/assets/layouts/layout/img/avatar4.jpg HTTP/1.1" 200 10743
192.168.0.121 - - [04/Sep/2019:15:20:36 +0300] "GET /aua/assets/layouts/layout/img/avatar6.jpg HTTP/1.1" 200 11104
192.168.0.121 - - [04/Sep/2019:15:20:36 +0300] "GET /aua/assets/pages/media/profile/people19.png HTTP/1.1" 200 245225
192.168.0.121 - - [04/Sep/2019:15:20:36 +0300] "GET /aua/assets/layouts/layout/img/avatar8.jpg HTTP/1.1" 200 10742
192.168.0.121 - - [04/Sep/2019:15:20:36 +0300] "GET /aua/assets/layouts/layout/img/avatar7.jpg HTTP/1.1" 200 10969
192.168.0.121 - - [04/Sep/2019:15:20:36 +0300] "GET /aua/assets/layouts/layout/img/avatar10.jpg HTTP/1.1" 200 10749
192.168.0.121 - - [04/Sep/2019:15:20:36 +0300] "GET /aua/assets/layouts/layout/img/avatar9.jpg HTTP/1.1" 200 10325
192.168.0.121 - - [04/Sep/2019:15:20:36 +0300] "GET /aua/assets/layouts/layout/img/avatar11.jpg HTTP/1.1" 200 11008
192.168.0.121 - - [04/Sep/2019:15:20:37 +0300] "GET /aua/favicon.ico HTTP/1.1" 404 1093
192.168.0.121 - - [04/Sep/2019:15:20:38 +0300] "GET /aua/profile HTTP/1.1" 200 1252
192.168.0.121 - - [04/Sep/2019:15:34:27 +0300] "GET /aua/profile.jsp HTTP/1.1" 200 114539
192.168.0.121 - - [04/Sep/2019:15:34:27 +0300] "GET /aua/assets/global/plugins/simple-line-icons/simple-line-icons.min.css HTTP/1.1" 304 -
192.168.0.121 - - [04/Sep/2019:15:34:27 +0300] "GET /aua/assets/global/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
192.168.0.121 - - [04/Sep/2019:15:34:27 +0300] "GET /aua/assets/global/plugins/bootstrap-fileinput/bootstrap-fileinput.css HTTP/1.1" 304 -
192.168.0.121 - - [04/Sep/2019:15:34:27 +0300] "GET /aua/assets/global/css/components.min.css HTTP/1.1" 304 -
192.168.0.121 - - [04/Sep/2019:15:34:27 +0300] "GET /aua/assets/global/plugins/uniform/css/uniform.default.css HTTP/1.1" 304 -
192.168.0.121 - - [04/Sep/2019:15:34:27 +0300] "GET /aua/assets/global/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.0.121 - - [04/Sep/2019:15:34:27 +0300] "GET /aua/assets/global/css/plugins.min.css HTTP/1.1" 404 1127
192.168.0.121 - - [04/Sep/2019:15:34:27 +0300] "GET /aua/assets/global/plugins/bootstrap-switch/css/bootstrap-switch.min.css HTTP/1.1" 304 -
192.168.0.121 - - [04/Sep/2019:15:34:27 +0300] "GET /aua/assets/global/plugins/jquery.min.js HTTP/1.1" 304 -
192.168.0.121 - - [04/Sep/2019:15:34:27 +0300] "GET /aua/assets/pages/css/profile-2.min.css HTTP/1.1" 304 -
192.168.0.121 - - [04/Sep/2019:15:34:27 +0300] "GET /aua/assets/global/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.0.121 - - [04/Sep/2019:15:34:27 +0300] "GET /aua/assets/layouts/layout4/css/themes/light.min.css HTTP/1.1" 304 -
192.168.0.121 - - [04/Sep/2019:15:34:27 +0300] "GET /aua/assets/layouts/layout4/css/custom.min.css HTTP/1.1" 304 -
