127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jquery-slimscroll/jquery.slimscroll.min.js HTTP/1.1" 200 5175
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/bootstrap-switch/js/bootstrap-switch.min.js HTTP/1.1" 200 14903
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.russia.js HTTP/1.1" 200 157651
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jqvmap/jqvmap/jquery.vmap.js HTTP/1.1" 200 27554
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.europe.js HTTP/1.1" 200 97655
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.world.js HTTP/1.1" 200 60600
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.germany.js HTTP/1.1" 200 55443
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.usa.js HTTP/1.1" 200 47620
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jqvmap/jqvmap/data/jquery.vmap.sampledata.js HTTP/1.1" 200 2386
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/bootstrap-timepicker/js/bootstrap-timepicker.min.js HTTP/1.1" 200 17095
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jquery.blockui.min.js HTTP/1.1" 200 9544
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/ckeditor/ckeditor.js HTTP/1.1" 200 527936
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/bootstrap-datepicker/js/bootstrap-datepicker.min.js HTTP/1.1" 200 29180
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jquery-inputmask/jquery.inputmask.bundle.min.js HTTP/1.1" 200 54883
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/select2/select2.min.js HTTP/1.1" 200 65979
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/morris/raphael-min.js HTTP/1.1" 200 91488
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jquery-file-upload/js/vendor/jquery.ui.widget.js HTTP/1.1" 200 15759
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jquery-file-upload/js/vendor/load-image.min.js HTTP/1.1" 200 16250
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jquery-file-upload/js/vendor/canvas-to-blob.min.js HTTP/1.1" 200 1028
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jquery-file-upload/js/jquery.iframe-transport.js HTTP/1.1" 200 10612
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jquery-file-upload/js/jquery.fileupload.js HTTP/1.1" 200 62987
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/bootstrap-datetimepicker/js/bootstrap-datetimepicker.min.js HTTP/1.1" 200 30657
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jquery-file-upload/js/jquery.fileupload-process.js HTTP/1.1" 200 5986
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jquery-file-upload/js/jquery.fileupload-image.js HTTP/1.1" 200 11822
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jquery-file-upload/js/jquery.fileupload-audio.js HTTP/1.1" 200 3364
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jquery-file-upload/js/jquery.fileupload-video.js HTTP/1.1" 200 3364
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/morris/morris.min.js HTTP/1.1" 200 35652
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jquery-file-upload/js/jquery.fileupload-validate.js HTTP/1.1" 200 4066
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/bootstrap-fileinput/bootstrap-fileinput.js HTTP/1.1" 200 6763
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/admin/pages/scripts/index3.js HTTP/1.1" 200 6768
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/admin/layout4/scripts/demo.js HTTP/1.1" 200 11366
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/admin/pages/scripts/tasks.js HTTP/1.1" 200 403
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/admin/pages/scripts/components-pickers.js HTTP/1.1" 200 8079
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jquery-multi-select/js/jquery.quicksearch.js HTTP/1.1" 200 4179
127.0.0.1 - - [26/Sep/2019:11:34:35 +0300] "GET /highschool/assets/global/plugins/jquery-multi-select/js/jquery.multi-select.js HTTP/1.1" 200 19398
